product_no,product_url,product_name,category,sub_category,price,fabric,fit_type,size_range,recommended_body_type,body_cover_features,style_tags,season,length_type,sleeve_type,color_options,recommended_age,coordination_items,product_summary,shoulder,chest,chest_measure_type,armhole,sleeve,sleeve_circumference,length,length_front,length_back,measurement_source,raw_measurements
28737,https://www.misharp.co.kr/product/detail.html?product_no=28737,린넨 하프 집업 카라 니트,니트/가디건,니트,53900,코튼40% 혼용 원사입니다 / 비스코스30%가 더해져 표면이 매우 매끄러우며,루즈핏,55-77,어깨좁음,뱃살커버;힙커버;허리라인보정,클래식;데일리;오피스룩,봄;여름;가을,하프,긴팔,아이보리;베이지;네이비,4050,데님;니트,【린넨30+면40】,40,50,circumference,46,59,,,,,text,"[{""어깨단면"": ""40""}, {""암홀둘레"": ""46""}, {""소매길이"": ""59""}, {""가슴둘레"": ""100""}]"
28738,https://www.misharp.co.kr/product/detail.html?product_no=28738,르부아 에어 윈드 하프 점퍼,아우터,점퍼,88700,나일론100% 소재를 사용해 / 나일론100% 소재입니다 / 나일론 100% 소재로 시원하고 쾌적하게 입을 수 있습니다,루즈핏,55-88,어깨좁음,뱃살커버;힙커버;허리라인보정,데일리;오피스룩,여름;겨울,하프,긴팔,블랙;베이지,4050,데님,"미샵 - 르부아 에어 윈드 하프 점퍼 (2 color) 르부아 에어 윈드 하프 점퍼 (2 color) (해외배송 가능상품) ( 건) 르부아 에어 윈드 하프 점퍼 (2 color) 98,500원 88,700원 남은시간 2일 21:56:09 (9,800원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 880원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션",51.5,64,circumference,59,58,,,,,text,"[{""어깨단면"": ""51.5""}, {""암홀둘레"": ""59""}, {""소매길이"": ""58""}, {""가슴둘레"": ""128""}]"
27923,https://www.misharp.co.kr/product/detail.html?product_no=27923,매그 F 423 슬랙스 - 브라운만 진행,팬츠,슬랙스,35600,레이온65% 나일론35% 혼용 소재입니다 / 나일론35% 혼용 소재입니다,,55-77,복부체형;하체통통,힙커버;허리라인보정,데일리;오피스룩,봄;가을;간절기,기본,긴팔,브라운,4050,슬랙스;데님;니트,★미샵 SS제작 시리즈 168★,,,,,,,,,,,
28736,https://www.misharp.co.kr/product/detail.html?product_no=28736,로디너리 7부 맨투맨,티셔츠,티셔츠,26800,코튼60% 폴리에스터40% 혼용 소재입니다 / 폴리에스터40% 혼용 소재입니다,루즈핏,55-77,어깨좁음;팔뚝통통,팔뚝커버;뱃살커버;허리라인보정,데일리,겨울,기본,긴팔,그레이;네이비,4050,슬랙스;데님;스커트,"미샵 - 로디너리 7부 맨투맨 (2 color) 로디너리 7부 맨투맨 (2 color) (해외배송 가능상품) ( 건) 로디너리 7부 맨투맨 (2 color) 28,800원 26,800원 남은시간 0일 21:56:06 (2,000원 할인) 2026-04-27 12:00 ~ 2026-04-28 12:00 260원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 -",55,55,circumference,46,34,,,,,text,"[{""어깨단면"": ""55""}, {""암홀둘레"": ""46""}, {""소매길이"": ""34""}, {""가슴둘레"": ""110""}]"
26422,https://www.misharp.co.kr/product/detail.html?product_no=26422,마르 린넨 라운드 니트,니트/가디건,니트,47300,,세미루즈,55-77,어깨좁음,허리라인보정,페미닌;데일리;오피스룩,여름,기본,긴팔,블랙;베이지;핑크;브라운,4050,슬랙스;데님;스커트;니트,"미샵 - 마르 린넨 라운드 니트 (4 color) 마르 린넨 라운드 니트 (4 color) (해외배송 가능상품) ( 건) 마르 린넨 라운드 니트 (4 color) 52,500원 47,300원 남은시간 2일 21:56:04 (5,200원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 470원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요",,52,circumference,,54,,,,,text,"[{""소매길이"": ""54""}, {""가슴둘레"": ""104""}]"
27244,https://www.misharp.co.kr/product/detail.html?product_no=27244,언밸런스 절개 플레어 데님 스커트,팬츠,데님,61200,코튼100% 데님 소재입니다,,66-66반,복부체형;하체통통,힙커버;허리라인보정,클래식;데일리,겨울,기본,긴팔,,4050,데님;스커트;니트,"미샵 - 언밸런스 절개 플레어 데님 스커트 (1 color) 언밸런스 절개 플레어 데님 스커트 (1 color) (해외배송 가능상품) ( 건) 언밸런스 절개 플레어 데님 스커트 (1 color) 65,800원 61,200원 남은시간 0일 21:56:02 (4,600원 할인) 2026-04-27 12:00 ~ 2026-04-28 12:00 610원 (1%) 재입고 알림 SMS 상품 옵션 사이즈",,,,,,,,,,,
27899,https://www.misharp.co.kr/product/detail.html?product_no=27899,라이트 린넨 긴팔 가디건,니트/가디건,가디건,29300,폴리에스터20% 비스코스20% 혼용 니트입니다 / 비스코스20% 혼용 니트입니다,,55-77,어깨좁음,허리라인보정,클래식;데일리;오피스룩,봄;여름;가을,기본,긴팔,화이트;그레이;핑크,4050,데님;원피스;니트,"미샵 - 라이트 린넨 긴팔 가디건 (3 color) 라이트 린넨 긴팔 가디건 (3 color) (해외배송 가능상품) ( 건) 라이트 린넨 긴팔 가디건 (3 color) 32,500원 29,300원 남은시간 2일 21:56:01 (3,200원 할인) 2026-04-27 12:00 ~ 2026-04-30 12:00 290원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해",44,55.5,circumference,52,58,,,,,text,"[{""어깨단면"": ""44""}, {""암홀둘레"": ""52""}, {""소매길이"": ""58""}, {""가슴둘레"": ""111""}]"
28739,https://www.misharp.co.kr/product/detail.html?product_no=28739,3피스 피너츠 릴렉스 잠옷 세트 / 사이즈별,,,26800,폴리에스터100% 소재입니다 / 폴리에스터 100% 소재로 변형 걱정이 적습니다,,55-88,어깨좁음;복부체형;하체통통,힙커버,데일리,여름;겨울,기본,긴팔,핑크,4050,데님,"【남,녀 사이즈 / 3piece 세트】",44,53,circumference,48,19.5,,,,,text,"[{""어깨단면"": ""44""}, {""암홀둘레"": ""48""}, {""소매길이"": ""19.5""}, {""가슴둘레"": ""106""}]"
21017,https://www.misharp.co.kr/product/detail.html?product_no=21017,맨투맨 블라우스2 - 블랙 1장,블라우스/셔츠,블라우스,31100,,,55-77,어깨좁음,허리라인보정,클래식;데일리;오피스룩,봄;여름;가을,기본,반팔,블랙;베이지,4050,데님,★ SS제작 상의 44 ★ 【5천장 판매 기록 (후기 50개+)】,42.5,53,circumference,49,56,,,,,text,"[{""어깨단면"": ""42.5""}, {""암홀둘레"": ""49""}, {""소매길이"": ""56""}, {""가슴둘레"": ""106""}]"
19739,https://www.misharp.co.kr/product/detail.html?product_no=19739,쿠션 고리 덧신,,,3500,,,55-55,4050 여성 일반체형,허리라인보정,데일리,여름,기본,긴팔,블랙;베이지,4050,데님,"고신축의 쿨링 원단, 쿠션 패드!",,,,,,,,,,,
28733,https://www.misharp.co.kr/product/detail.html?product_no=28733,무드 시어서커 이지 핏 점퍼,아우터,점퍼,52700,,,55-88,어깨좁음;복부체형;하체통통,뱃살커버;허리라인보정,데일리,봄;여름;가을,기본,반팔,블랙;화이트;그레이,4050,데님,【몸에 붙지 않는 시어서커형 원단】,52,66.5,circumference,58,56,,,,,text,"[{""어깨단면"": ""52""}, {""암홀둘레"": ""58""}, {""소매길이"": ""56""}, {""가슴둘레"": ""133""}]"
